u677,31,PKB beta
u678,31,GCK
u679,31,IRAK4
u680,31,ERK8
u681,31,FGF-R1
u682,31,DYRK3
u683,31,HIPK2
u684,31,BTK
u685,31,Src
u686,31,BRSK1
u687,31,MAPKAP-K3
u688,31,YES1
u689,31,RSK2
u690,31,SYK
u691,33,GSK3 beta
u692,33,PKC alpha
u693,33,MELK
u694,33,CDK2-Cyclin A
u695,33,AMPK
u696,33,PLK1
u697,33,PKD1
u698,33,DYRK1A
u699,33,CAMKK alpha
u700,33,MSK1
u701,34,CK1 delta
u702,34,SGK1
u703,34,MNK1
u704,34,PIM1
u705,34,PIM3
u706,34,ERK8
u707,34,AMPK
u708,34,DYRK1A
u709,34,MSK1
u710,34,BRSK2
u711,34,DYRK3
u712,34,PRK2
u713,34,RSK1
u714,34,S6K1
u715,35,CLK2
u716,35,ERK8
u717,35,PHK
u718,35,CK1 delta
u719,35,DYRK1A
u720,35,MINK1
u721,35,DYRK3
u722,35,GCK
u723,35,TAK1
u724,35,Lck
u725,35,EPH-B4
u726,35,HIPK2
u727,35,EPH-B1
u728,35,MLK3
u729,35,RIPK2
u730,35,CDK2-Cyclin A
u731,35,CK2
u732,35,YES1
u733,35,DYRK2
u734,35,EPH-A4
u735,35,EPH-B2
u736,35,EPH-B3
u737,35,IRAK4
u738,35,FGF-R1
u739,35,TrkA
u740,35,PRK2
u741,35,Src
u742,35,MSK1
u743,35,VEGFR1
u744,35,AMPK
u745,35,MELK
u746,35,Aurora B
u747,35,NUAK1
u748,35,CSK
u749,35,ROCK 2
u750,35,HIPK1
u751,35,MNK1
u752,35,MARK3
u753,35,TBK1
u754,35,CAMKK beta
u755,35,GSK3 beta
u756,35,IRR
u757,35,RSK1
u758,35,IKK epsilon
u759,35,IR
u760,35,SGK1
u761,35,Aurora A
u762,35,MNK2
u763,35,MLK1
u764,35,BRSK2
u765,35,S6K1
u766,35,HIPK3
u767,35,BTK
u768,35,TTK
u769,35,DAPK1
u770,35,PKB alpha
u771,35,CHK2
u772,35,BRSK1
u773,35,SYK
u774,35,PKB beta
u775,35,EPH-A2
u776,35,PKA
u777,35,PAK4
u778,35,MARK1
u779,35,CHK1
u780,35,PIM1
u781,35,p38 beta MAPK
u782,35,RSK2
u783,41,DYRK2
u784,41,PHK
u785,41,DYRK1A
u786,41,DYRK3
u787,41,MLK3
u788,41,CLK2
u789,41,GCK
u790,41,RIPK2
u791,41,HIPK2
u792,41,ERK8
u793,41,PIM1
u794,41,PIM3
u795,41,MINK1
u796,41,RSK1
u797,41,CHK2
u798,41,PIM2
u799,41,MLK1
u800,41,PKB beta
u801,41,VEGFR1
u802,41,IKK epsilon
u803,41,IRR
u804,41,CAMK1
u805,41,TrkA
u806,41,CAMKK beta
u807,41,Aurora A
u808,41,TTK
u809,41,RSK2
u810,41,S6K1
u811,41,YES1
u812,41,FGF-R1
u813,41,HIPK3
u814,41,IRAK4
u815,41,BTK
u816,41,MELK
u817,41,MEKK1
u818,41,SRPK1
u819,41,MST2
u820,41,HER4
u821,41,NUAK1
u822,41,SmMLCK
u823,41,TAO1
u824,41,DAPK1
u825,41,PKC alpha
u826,41,HIPK1
u827,41,TAK1
u828,41,ROCK 2
u829,42,CK1 delta
u830,42,p38 alpha MAPK
u831,42,PKD1
u832,43,DYRK2
u833,43,PKB beta
u834,43,EPH-B3
u835,43,PKC zeta
u836,43,PRAK
u837,43,DYRK3
u838,43,NEK2a
u839,43,SRPK1
u840,43,RSK2
u841,43,MARK3
u842,43,DYRK1A
u843,43,FGF-R1
u844,43,PLK1
u845,43,PAK6
u846,43,Aurora B
u847,43,YES1
u848,43,PIM1
u849,43,HIPK2
u850,43,PKD1
u851,43,ERK1
u852,43,PIM3
u853,43,BTK
u854,43,CAMK1
u855,43,IGF-1R
u856,43,ERK8
u857,43,VEGFR1
u858,43,IKK beta
u859,43,Src
u860,43,MAPKAP-K2
u861,43,PAK4
u862,43,BRSK2
u863,43,MST4
u864,43,IKK epsilon
u865,43,IRR
u866,43,PAK5
u867,43,S6K1
u868,43,MST2
u869,43,MSK1
u870,43,RSK1
u871,43,PIM2
u872,44,Src
u873,44,Lck
u874,44,S6K1
u875,44,MNK1
u876,44,CAMKK beta
u877,45,MKK1
u878,45,ERK8
u879,45,HIPK2
u880,45,CLK2
u881,45,IRR
u882,45,JNK1
u883,45,CDK2-Cyclin A
u884,45,DYRK2
u885,45,YES1
u886,45,SGK1
u887,45,S6K1
u888,45,IGF-1R
u889,45,JNK2
u890,46,CK1 delta
u891,46,PIM2
u892,46,DYRK1A
u893,46,Aurora B
u894,46,MNK2
u895,46,ERK8
u896,46,SmMLCK
u897,46,GSK3 beta
u898,46,GCK
u899,46,RIPK2
u900,46,MNK1
u901,46,PIM3
u902,46,DYRK3
u903,46,SGK1
u904,46,PIM1
u905,46,PRK2
u906,46,CLK2
u907,46,Lck
u908,46,MSK1
u909,46,CK2
u910,46,IRR
u911,46,S6K1
u912,46,DYRK2
u913,46,CHK2
u914,46,Src
u915,46,JAK2
u916,47,RSK1
u917,47,PKC alpha
u918,47,MSK1
u919,47,PHK
u920,47,DYRK1A
u921,47,SGK1
u922,47,GSK3 beta
u923,47,CDK2-Cyclin A
u924,47,S6K1
u925,47,AMPK
u926,47,PKD1
u927,47,CHK1
u928,47,MAPKAP-K2
u929,47,PKB alpha
u930,47,PKA
u931,47,Lck
u932,47,ROCK 2
u933,47,MKK1
u934,48,Lck
u935,48,EPH-B2
u936,48,EPH-B3
u937,48,RIPK2
u938,48,MELK
u939,48,EPH-A2
u940,48,HER4
u941,48,IR
u942,48,YES1
u943,49,MST2
u944,49,PKC alpha
u945,49,PHK
u946,49,CHK1
u947,49,PRK2
u948,49,RSK2
u949,49,PIM3
u950,49,PAK4
u951,49,PKD1
u952,49,MSK1
u953,49,PAK5
u954,49,PAK6
u955,49,RSK1
u956,49,CDK2-Cyclin A
u957,49,PDK1
u958,49,S6K1
u959,49,CAMKK beta
u960,49,AMPK
u961,49,MARK3
u962,49,MELK
u963,49,PIM1
u964,49,Aurora B
u965,49,GSK3 beta
u966,49,Aurora C
u967,49,HIPK2
u968,49,SmMLCK
u969,49,DYRK1A
u970,49,DYRK3
u971,49,MNK2
u972,49,ERK8
u973,49,CAMKK alpha
u974,49,ERK2
u975,49,BRSK2
u976,49,MKK1
u977,50,RSK2
u978,50,PKC alpha
u979,50,PIM1
u980,50,PIM3
u981,50,S6K1
u982,50,PIM2
u983,50,PKA
u984,50,MST2
u985,50,MSK1
u986,50,PDK1
u987,50,SmMLCK
u988,50,PRK2
u989,50,CHK1
u990,50,RSK1
u991,50,GSK3 beta
u992,50,SGK1
u993,50,BRSK2
u994,50,Aurora C
u995,50,PKB alpha
u996,50,MELK
u997,50,CHK2
u998,50,PHK
u999,50,Aurora B
u1000,50,PKB beta
u1001,50,MKK1
u1002,50,CAMK1
u1003,50,AMPK
u1004,50,DYRK3
u1005,50,HIPK2
u1006,50,MARK3
u1007,50,JNK2
u1008,50,p38 delta MAPK
u1009,50,CAMKK beta
u1010,50,DYRK1A
u1011,50,Lck
u1012,50,PKD1
u1013,52,PIM1
u1014,52,PIM3
u1015,52,DYRK1A
u1016,52,PIM2
u1017,52,MST2
u1018,52,RSK2
u1019,52,DYRK3
u1020,52,HIPK2
u1021,52,RSK1
u1022,52,GSK3 beta
u1023,52,PLK1
u1024,52,DYRK2
u1025,52,HIPK3
u1026,52,Lck
u1027,52,ROCK 2
u1028,52,CK2
u1029,52,Aurora B
u1030,52,CHK2
u1031,52,SRPK1
u1032,52,PHK
u1033,52,p38 alpha MAPK
u1034,52,MARK3
u1035,52,ERK8
u1036,52,MELK
u1037,52,CAMKK beta
u1038,52,PKD1
u1039,52,SmMLCK
u1040,52,PRAK
u1041,52,Aurora C
u1042,52,PKC zeta
u1043,52,PAK4
u1044,52,MKK1
u1045,52,AMPK
u1046,52,SGK1
u1047,52,S6K1
u1048,52,MAPKAP-K3
u1049,52,PKC alpha
u1050,52,MSK1
u1051,52,p38 beta MAPK
u1052,52,NEK2a
u1053,52,IKK beta
u1054,52,PRK2
u1055,52,CAMKK alpha
u1056,52,CAMK1
u1057,52,FGF-R1
u1058,52,Src
u1059,53,ROCK 2
u1060,53,PRK2
u1061,53,Aurora B
u1062,53,Aurora C
u1063,53,RSK1
u1064,53,PHK
u1065,53,AMPK
u1066,53,PKA
u1067,53,FGF-R1
u1068,53,BRSK2
u1069,53,MSK1
u1070,53,RSK2
u1071,53,EPH-A2
u1072,53,MNK1
u1073,53,MARK3
u1074,53,MELK
u1075,53,NUAK1
u1076,53,LKB1
u1077,54,PRK2
u1078,54,ROCK 2
u1079,54,RSK1
u1080,54,AMPK
u1081,54,MELK
u1082,54,MSK1
u1083,54,PKD1
u1084,54,RSK2
u1085,54,PKA
u1086,54,PKC alpha
u1087,55,PRK2
u1088,55,ROCK 2
u1089,55,RSK1
u1090,55,AMPK
u1091,55,PKA
u1092,55,MELK
u1093,55,MSK1
u1094,55,DYRK3
u1095,55,RSK2
u1096,55,PKD1
u1097,55,PKB alpha
u1098,55,GSK3 beta
u1099,55,BRSK2
u1100,55,S6K1
u1101,56,PKA
u1102,56,S6K1
u1103,56,NUAK1
u1104,56,PKB alpha
u1105,56,MSK1
u1106,56,ROCK 2
u1107,56,PRK2
u1108,56,RSK1
u1109,56,STK33
u1110,56,PKB beta
u1111,56,ERK8
u1112,56,VEGFR1
u1113,56,CHK2
u1114,56,AMPK (hum)
u1115,56,DYRK3
u1116,56,SGK1
u1117,56,RSK2
u1118,56,CHK1
u1119,56,GCK
u1120,56,AMPK
u1121,56,FGF-R1
u1122,56,MARK3
u1123,56,BRSK2
u1124,56,PKD1
u1125,56,MINK1
u1126,56,PKC zeta
u1127,56,MARK2
u1128,56,PKC gamma
u1129,56,MELK
u1130,56,BRSK1
u1131,56,IRAK1
u1132,56,CDK2-Cyclin A
u1133,56,DAPK1
u1134,56,Aurora B
u1135,56,MKK2
u1136,56,CAMK1
u1137,56,MST3
u1138,56,MAP4K3
u1139,56,SIK2
u1140,57,ROCK 2
u1141,57,ERK8
u1142,57,RSK1
u1143,57,PRK2
u1144,57,MSK1
u1145,57,PKA
u1146,57,NUAK1
u1147,57,S6K1
u1148,57,DYRK3
u1149,57,RSK2
u1150,57,PKD1
u1151,57,CHK2
u1152,57,TAK1
u1153,58,DYRK1A
u1154,58,ERK8
u1155,58,DYRK3
u1156,60,DYRK1A
u1157,61,DYRK1A
u1158,61,DYRK3
u1159,61,DYRK2
u1160,61,IRR
u1161,62,CK1 delta
u1162,62,PIM3
u1163,62,PIM1
u1164,62,Lck
u1165,63,MLK3
u1166,63,MLK1
u1167,63,VEGFR1
u1168,63,Aurora B
u1169,63,TAK1
u1170,63,CDK2-Cyclin A
u1171,63,NUAK1
u1172,63,IKK beta
u1173,63,GCK
u1174,63,JAK2
u1175,63,IGF-1R
