KS ID,UID,Kinase
320,518,PLK1
321,519,PLK1
322,520,CDK1
322,521,PLK1
323,522,PLK1
324,523,PLK1
325,524,PLK1
326,525,ATM
327,526,CDK1
327,528,JNK1
327,527,JNK2
327,529,JNK3
328,530,PKCA
329,531,PKACA
330,532,CK2A1
331,533,CDK1
331,534,LRRK2
332,535,Fyn
333,536,ROCK2
334,538,JNK1
334,537,JNK2
334,539,JNK3
335,540,PKACA
336,541,PKCA
337,542,CDK1
338,543,PKCG
339,544,PKCA
340,545,PKCA
341,546,PKACA
342,547,PKACA
343,548,PKCA
344,549,PKACA
345,550,PKCZ
346,551,PKCZ
347,552,AurA
348,553,AurA
349,556,CDK1
349,554,CDK7
349,555,ERK1
349,557,ERK2
350,558,ERK1
350,560,JNK1
350,559,P38A
351,561,Src
352,562,CDK1
352,563,CDK5
353,564,CDK1
353,565,CDK5
354,566,CDK2
355,567,Fer
356,568,PAK6
356,569,PKCA
357,570,Pim1
358,572,Akt1
358,573,Akt1
358,571,Pim1
359,574,Ack
360,575,Ack
361,576,Akt1
361,577,Akt1
362,578,Src
363,579,Src
364,580,CK2A1
365,581,GSK3B
366,582,PRKD1
367,583,PRKD1
368,584,Akt1
368,585,Akt1
369,586,PKACA
370,587,PDGFRB
371,588,PDGFRB
372,589,PDGFRB
373,590,Abl
373,591,Arg
374,592,Arg
375,593,PKACA
376,594,CDK1
377,595,CDK1
378,597,Akt1
378,598,Akt1
378,596,ROCK1
379,599,AurB
380,600,Akt1
380,601,Akt1
381,602,AurB
382,603,ROCK1
383,604,ROCK1
384,605,ROCK1
385,606,ROCK1
386,607,ROCK1
387,608,ROCK1
388,609,PKCD
389,611,Fyn
389,610,Src
390,612,Lck
391,614,Brk
391,613,Src
392,615,INSR
393,616,JNK1
394,617,JAK2
395,618,TTK
396,619,TTK
397,620,TTK
398,621,Chk1
398,622,MARK2
399,623,ERK1
399,624,ERK2
400,625,MARK2
401,626,MARK2
402,627,PAK1
403,628,MARK3
404,629,ERK1
404,630,MARK2
405,631,ERK1
406,633,MARK2
406,632,PAK4
407,634,Src
408,635,PKCT
409,636,PKCT
410,637,PKACA
410,638,PKG1
411,639,PKCG
412,640,PKCG
413,641,CDK2
414,642,CK2A1
415,644,Nik
415,643,PLK4
