Gene.symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
FAM107A,-0.232965001,0.20709823,-0.907600382,0.366950218,0.443851766,-6.752734429
FAM107B,0.579510236,0.011517138,2.361212249,0.020771631,0.036209807,-4.456144452
FAM109A,1.376713423,0.157857806,14.47892308,1.40E-23,6.11E-21,43.25398037
FAM109B,0.480488245,0.023595072,4.375874229,3.79E-05,0.000126684,1.431222625
FAM110A,0.290903656,0.053914534,2.960478543,0.004092469,0.008557332,-2.988848938
FAM110B,0.291062182,0.09467532,1.563662543,0.122039809,0.171842507,-5.953468527
FAM110C,0.008424197,0.012859425,0.026071926,0.979268115,0.984813513,-7.164983367
FAM110D,0.651560603,0.200353905,8.242953022,3.70E-12,6.01E-11,17.24109221
FAM111A,0.092682686,0.043387007,1.296006069,0.198884403,0.262560023,-6.328712208
FAM111B,0.003586373,0.043170118,0.045820295,0.96357333,0.973120164,-7.1642684
FAM114A1,1.998746068,0.224958948,8.811764448,3.00E-13,6.20E-12,19.72678043
FAM114A2,0.813309381,0.176823779,4.407908833,3.37E-05,0.000114012,1.544139278
FAM117A,0.5040728,0.026896636,3.298405531,0.001479472,0.003415621,-2.045981927
FAM117B,-0.487086614,0.004576038,-5.100165665,2.41E-06,1.05E-05,4.094092448
FAM118A,0.55336862,0.103072397,4.751899928,9.30E-06,3.56E-05,2.786182706
FAM118B,0.788344873,0.039013105,3.384479106,0.001129341,0.002690584,-1.793539823
FAM120A,-0.020251402,0.040853572,-0.254804141,0.799560667,0.841282143,-7.132643743
FAM120AOS,0.260478835,0.064530069,2.77427211,0.006954295,0.013736124,-3.473897508
FAM120B,0.408691483,0.041357481,3.225503051,0.001853403,0.004190523,-2.255979564
FAM120C,0.047640164,0.077079094,0.5480634,0.58525007,0.653378306,-7.014358332
FAM122A,0.311163521,0.030569557,2.1957469,0.03115253,0.051919326,-4.811479263
FAM122B,-0.152683221,-0.025893539,-0.521011004,0.603869648,0.67096292,-7.028868045
FAM122C,-0.067391561,0.06259115,-0.638842258,0.524840823,0.5971576,-6.960350582
FAM124A,0.273246638,0.210808647,2.552616035,0.012691305,0.023448365,-4.017509666
FAM124B,-0.808743959,0.100838538,-7.866867723,1.95E-11,2.66E-10,15.60133413
FAM126A,2.264973506,0.118786703,9.117826153,7.75E-14,1.83E-12,21.06357039
FAM126B,-0.421470948,0.084023016,-2.631141435,0.010293957,0.019459125,-3.829223567
FAM127A,1.375456505,0.148533658,6.460608179,8.86E-09,6.75E-08,9.572520457
FAM127B,0.011072013,-0.081721901,0.090156306,0.928399521,0.946111706,-7.161232606
FAM129A,1.029701671,0.328524539,3.564186916,0.000633948,0.001604621,-1.251211109
FAM129B,0.031667047,0.076123825,0.372720906,0.710390705,0.764768754,-7.095429971
FAM129C,0.327284709,0.191677165,2.717255884,0.00814346,0.015805383,-3.617298129
FAM131A,0.41103488,0.217737026,2.749889342,0.007441907,0.014578737,-3.535520535
FAM131B,0.12376649,0.063192868,1.302897003,0.19653277,0.259841417,-6.319890032
FAM131C,0.049869483,0.093181932,0.551200003,0.583108923,0.65128095,-7.012628858
FAM132A,-0.310065504,0.079666153,-2.485936259,0.015110817,0.027343442,-4.173617711
FAM133A,0.612932303,0.276598749,3.936598946,0.000181258,0.000519506,-0.065289655
FAM133DP///FAM133B,0.213354559,0.086050172,1.548936407,0.125539706,0.176078887,-5.975836409
FAM134A,-0.061143504,-0.055473504,-0.349425245,0.727733726,0.78033929,-7.103887307
FAM134B,0.355793661,0.274939263,2.552323663,0.012701103,0.023460615,-4.018201763
FAM134C,0.314574184,-0.085927213,1.910824711,0.059787919,0.09226664,-5.369512914
FAM135A,-0.001694372,0.053248863,-0.024809253,0.980271953,0.985460689,-7.165015721
FAM135B,-0.187710525,0.071976974,-2.55424653,0.012636789,0.023355409,-4.01364877
FAM138E///FAM138D///FAM138C///FAM138B///FAM138A///FAM138F,0.049530513,0.030134154,0.659397313,0.511628225,0.584384852,-6.946986311
FAM13A,0.773940564,0.136099689,3.344292827,0.001281781,0.003012423,-1.912001659
FAM13A-AS1,-0.578374445,0.093880803,-4.343718898,4.26E-05,0.000140701,1.318374392
FAM13B,0.944109898,0.035817648,3.298217802,0.001480337,0.003417262,-2.046527212
FAM13C,2.211754197,0.335215571,6.485004784,7.98E-09,6.15E-08,9.674822056
FAM149A,0.91229107,0.310756129,5.162055971,1.89E-06,8.47E-06,4.3313378
FAM149B1,0.067225785,0.112163367,0.836720327,0.405365681,0.482775795,-6.81437772
FAM150B,0.628807681,0.589628315,1.481250971,0.142662322,0.197047455,-6.076084357
FAM151A,0.071603069,0.017532522,0.919163195,0.36091017,0.437522362,-6.742213099
FAM153A,0.254586966,0.19211658,2.370976469,0.020268516,0.035438406,-4.434476916
FAM155A,2.629877438,0.438862919,10.58045143,1.29E-16,6.55E-15,27.39516917
FAM155A-IT1,0.101497238,0.027747975,1.558917629,0.123158919,0.173231696,-5.960697367
FAM155B,-0.56980622,0.0483415,-6.034768574,5.37E-08,3.42E-07,7.806132971
FAM156B///FAM156A,0.891426084,0.091037121,8.128298009,6.14E-12,9.38E-11,16.74064258
FAM159A,0.070513543,0.084924085,0.883866644,0.379547909,0.456628808,-6.773921952
FAM160A1,-0.47776288,-0.038322417,-6.85402722,1.63E-09,1.46E-08,11.23457457
FAM160A2,0.656745806,-0.050121952,5.992712825,6.40E-08,4.00E-07,7.633856493
FAM160B1,-0.145681457,0.031660316,-1.980809714,0.05122083,0.080556166,-5.238887041
FAM160B2,0.067913955,0.076317958,0.910180778,0.36559676,0.44240732,-6.750397748
FAM161A,0.081040346,0.116182379,0.555203733,0.580381272,0.648920813,-7.010407039
FAM161B,1.457129576,0.172979197,8.420331145,1.69E-12,2.96E-11,18.01592616
FAM162A,-0.03869158,0.090222883,-0.219215939,0.827067859,0.863949085,-7.14113281
FAM162B,0.544386955,0.197670875,3.62712749,0.000515688,0.001333694,-1.05652532
FAM163A,-0.164698567,0.050282112,-1.919527245,0.058660577,0.090753789,-5.35350151
FAM163B,0.078662357,0.028587022,1.13307455,0.260734825,0.332022266,-6.524198814
FAM166A,0.129757736,0.059658464,1.618641455,0.109655645,0.156754119,-5.868209986
FAM166B,-0.078036141,0.042361843,-0.729985808,0.467636683,0.543111625,-6.897909951
FAM167A,0.288912433,0.114701903,3.84445568,0.000248734,0.000688139,-0.366171787
FAM167A-AS1,-0.263960654,0.005063695,-4.429686887,3.11E-05,0.000105861,1.621181026
FAM167B,0.406958546,0.023710046,5.90754245,9.13E-08,5.48E-07,7.286285052
FAM168A,0.594302907,0.003689773,5.572480644,3.63E-07,1.90E-06,5.937479637
