Gene.symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
UBC,0.919338572,-0.166347605,3.5290976,0.000710615,0.001934882,-1.311481971
UBD///GABBR1,1.695397593,0.464295686,3.200430499,0.002001291,0.004868164,-2.279462091
UBE2A,0.995478094,-0.070486724,3.860751218,0.000235269,0.000725959,-0.266876975
UBE2B,-0.76324109,0.169100779,-4.005283114,0.000142777,0.000463229,0.208110844
UBE2C,2.091931206,-0.130372635,6.024713747,5.60E-08,4.02E-07,7.804524663
UBE2D1,0.824116738,0.214672841,3.720946683,0.000377582,0.001104997,-0.715131653
UBE2D2,0.487884547,0.03848097,1.696250845,0.093919595,0.142934546,-5.692916947
UBE2D3,-0.953902351,0.293360131,-3.938940122,0.000179796,0.000571159,-0.011347374
UBE2D4,0.639213915,0.02219503,4.094536271,0.000104353,0.00034943,0.507090535
UBE2DNL,-0.03505042,0.002698389,-0.240904443,0.810276064,0.854863945,-7.084938525
UBE2E1,-0.150979939,0.016373566,-1.868784704,0.065495119,0.104876201,-5.395853884
UBE2E2,0.444466201,0.141004221,1.288365183,0.201516418,0.274903083,-6.287782046
UBE2E2-AS1,-0.906474474,0.086999401,-5.328297449,9.74E-07,5.30E-06,5.01737894
UBE2E3,0.889425513,-0.192759759,2.161832806,0.033769818,0.058995481,-4.83181566
UBE2F,0.215508626,-0.01951658,1.349361481,0.181215782,0.251047125,-6.208628801
UBE2G1,0.523216142,0.173436775,1.829726784,0.071201319,0.112729926,-5.465412441
UBE2G2,-0.045012845,0.035893787,-0.338717037,0.735754318,0.793149793,-7.056438245
UBE2H,0.195969616,0.052654666,1.510504401,0.135049867,0.195170597,-5.982813407
UBE2I,-1.555058299,0.217249728,-6.891564262,1.39E-09,1.46E-08,11.43047456
UBE2J1,1.140051059,0.109116782,3.257860672,0.001677652,0.004161543,-2.115409143
UBE2J2,-1.173088409,0.116572117,-8.481037057,1.29E-12,2.77E-11,18.30954304
UBE2K,0.724912059,-0.013039744,2.552555013,0.012693349,0.024989715,-3.968545595
UBE2L3,1.226375363,-0.018188092,3.466451658,0.00086979,0.002314405,-1.501331366
UBE2L6,1.668405102,0.060406633,4.220488957,6.66E-05,0.000234155,0.936086098
UBE2M,1.51047004,-0.068092818,7.50201774,9.69E-11,1.34E-09,14.05088672
UBE2N,0.850515364,-0.004529687,3.867584164,0.000229833,0.000710704,-0.244682423
UBE2NL,0.593912332,-0.050089606,5.48423795,5.19E-07,3.01E-06,5.629194189
UBE2O,-0.83040501,0.065706308,-5.664240564,2.49E-07,1.56E-06,6.344719198
UBE2Q1,0.633870869,0.067442108,4.463023505,2.75E-05,0.000105673,1.784375204
UBE2Q2,-0.067357252,-0.019076527,-0.140039019,0.88899859,0.916439306,-7.10426645
UBE2Q2L,-0.450662148,0.072623969,-3.858719833,0.000236909,0.000730247,-0.273470179
UBE2QL1,-1.492496153,0.850334944,-3.199644618,0.0020061,0.004877227,-2.281691643
UBE2R2,0.968416002,-0.012593688,5.123691633,2.20E-06,1.10E-05,4.226926445
UBE2S,0.955552779,0.134003435,4.342245634,4.29E-05,0.000157502,1.358386892
UBE2T,1.741059888,0.289033898,6.448173913,9.34E-09,8.13E-08,9.558362762
UBE2U,-0.218168153,0.052912455,-2.897941231,0.004902266,0.010753529,-3.106063114
UBE2V2,0.859796779,0.070064591,2.459374308,0.016184806,0.030960965,-4.185569253
UBE2W,0.076755003,0.046897639,0.25322669,0.800774845,0.847253492,-7.081876653
UBE2Z,-0.160425858,0.043622197,-1.318514527,0.191280042,0.263054451,-6.249095049
UBE3A,-1.424642459,0.232641212,-8.388320837,1.95E-12,4.02E-11,17.90487444
UBE3B,-0.468828941,0.048199211,-4.66193404,1.31E-05,5.43E-05,2.500554849
UBE3C,0.223699858,0.064316034,1.491894764,0.139854564,0.201250373,-6.010120289
UBE3D,0.452367634,0.054113053,2.720122636,0.008079495,0.016746054,-3.56132
UBE4A,-0.299091609,-0.108638071,-0.847286311,0.399488418,0.486146338,-6.754538955
UBE4B,0.929825747,0.051883401,4.832861427,6.82E-06,3.04E-05,3.129682137
UBFD1,1.656626558,0.024880819,5.271000248,1.22E-06,6.52E-06,4.794572806
UBIAD1,-1.247470251,0.112462131,-8.642737246,6.32E-13,1.46E-11,19.01544702
UBL3,-0.291646556,0.045651448,-0.759392737,0.449960091,0.535742549,-6.825007387
UBL4A,0.068882375,0.075125204,0.265458715,0.791372824,0.839544329,-7.078686426
UBL4B,-0.056626096,-0.099268819,-0.447871547,0.655516411,0.723895744,-7.013317021
UBL5,-0.391428847,-0.21864833,-1.249911718,0.215156266,0.289876083,-6.33588096
UBL7,0.166184442,0.027432021,0.975878503,0.332212031,0.417680408,-6.63783592
UBL7-AS1,0.324214781,0.046979108,1.639039012,0.105326935,0.157681724,-5.785547119
UBLCP1,0.157326369,0.036647121,0.865026805,0.389738698,0.476528443,-6.739397436
UBN1,0.351774435,0.032321568,1.655446464,0.101946246,0.153281516,-5.759284369
UBN2,-0.517987401,0.072773436,-4.11677335,9.65E-05,0.000326209,0.582234876
UBOX5,-0.277393428,0.02961586,-1.823682508,0.072120461,0.114022679,-5.476056675
UBP1,0.798189649,-0.276994968,2.194872848,0.03121769,0.055028422,-4.76364526
UBQLN1,1.055486113,0.017151134,3.996192221,0.000147378,0.000476626,0.17789732
UBQLN2,-0.396574735,0.112650046,-1.346267466,0.182206797,0.252262756,-6.212727916
UBQLN3,-0.072560749,0.022967458,-0.562762591,0.575248274,0.652505968,-6.955079307
UBQLN4,1.145953705,-0.050724201,5.963883308,7.22E-08,5.07E-07,7.555856403
UBQLNL,-0.889088252,0.108638094,-6.660575284,3.76E-09,3.59E-08,10.45120113
UBR1,-0.014312745,-1.87E-05,-0.121277655,0.903790299,0.927678069,-7.106733274
UBR2,-0.989554718,0.101125082,-8.595778793,7.78E-13,1.76E-11,18.81044151
UBR3,-0.555341616,0.085676358,-5.558126183,3.85E-07,2.29E-06,5.921741332
UBR4,-1.775241151,0.290878702,-10.81581442,4.69E-17,3.19E-15,28.41419349
UBR5,0.676378158,-0.043533788,2.154432929,0.034365741,0.059893423,-4.846958414
UBR5-AS1,1.493443414,0.110020559,5.324669342,9.88E-07,5.37E-06,5.003238164
UBR7,1.490030008,-0.113561887,4.209416426,6.93E-05,0.000242537,0.898047937
UBTD1,-0.538503501,0.10242996,-3.369717415,0.001183235,0.003047013,-1.789612855
UBTD2,0.592392261,0.009443018,2.083024099,0.04060297,0.069269757,-4.990717483
UBTF,-1.71212215,0.130611193,-10.7102755,7.39E-17,4.74E-15,27.9649019
UBXN1,-1.570963979,0.170573094,-10.88749253,3.45E-17,2.47E-15,28.71876135
UBXN10,0.442165383,0.045133432,2.733585611,0.007785187,0.016213182,-3.527673984
UBXN10-AS1,0.203294367,0.024384116,1.219660083,0.22635469,0.302425907,-6.372737579
UBXN11,0.559250771,-0.038633025,2.7262939,0.007943349,0.016493101,-3.545914003
UBXN2A,0.705149614,-0.055712092,3.91002063,0.000198669,0.000623887,-0.106255769
UBXN2B,0.691786102,0.115200799,2.416405116,0.018067549,0.034101674,-4.28333199
UBXN4,-0.704687062,-0.009416042,-5.653196419,2.61E-07,1.62E-06,6.30054472
UBXN7,0.150968067,0.073241612,0.783700199,0.435644823,0.521829746,-6.806277509
UBXN7-AS1,-1.054802645,0.075174212,-5.746555594,1.78E-07,1.14E-06,6.675042661
UBXN8,-0.592862174,0.348147658,-1.223306466,0.224982829,0.300994366,-6.368341052
UCA1,1.274386346,-0.200181161,3.664668037,0.000455473,0.001303925,-0.892363578
UCHL1,1.054440885,0.265234184,3.084034721,0.002844016,0.006615396,-2.60509315
UCHL3,2.397241789,-0.209920618,6.716590913,2.96E-09,2.89E-08,10.6879311
UCHL5,0.98886438,0.123426967,4.685107878,1.20E-05,5.03E-05,2.585128067
UCK1,-0.319245533,0.056119042,-2.797813966,0.006511438,0.013836728,-3.365289759
UCKL1,-0.485910448,0.062860911,-3.071870515,0.002949002,0.006835274,-2.638585599
UCMA,0.275605633,-0.061731429,1.818016345,0.072991081,0.115186867,-5.48600574
UCN,-0.424595045,0.079718688,-2.917435477,0.004635216,0.010235393,-3.05474282
UCN2,-0.534471836,0.078111877,-3.270976485,0.001610968,0.004011354,-2.077634044
UCN3,0.548748149,-0.131486764,3.946392487,0.000175219,0.000557974,0.013184671
UCP1,0.032510233,-0.028877472,0.237843615,0.81264064,0.85700286,-7.085675448
UCP2,1.46700022,-0.098184627,6.273703997,1.96E-08,1.58E-07,8.831210735
UCP3,-0.446777238,0.046856199,-2.823992182,0.006049462,0.012960383,-3.298225816
UEVLD,-0.276679435,0.051002893,-1.690869831,0.094947567,0.144321082,-5.701754871
UFC1,1.978177831,-0.181330154,5.488813664,5.10E-07,2.96E-06,5.647262515
UFD1L,1.646457784,-0.066433228,5.325827724,9.84E-07,5.35E-06,5.007752559
UFL1,-0.125058226,0.017743457,-1.815073992,0.07344663,0.115781609,-5.491160949
