Gene.symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Division,Category
RAD21,-0.421669434,-0.076581605,-1.706050042,0.09207097199999999,0.14477102,-5.7079855870000005,NA,NA
RAD21L1,0.28832307100000004,0.045661335,2.947275395,0.004252356,0.013655404,-3.005716782,NA,NA
RAD23A,-0.193380728,-0.00743882,-0.731447614,0.466748814,0.542366142,-6.8775329460000005,NA,NA
RAD23B,-0.5759554139999999,0.24681378899999998,-1.4943342430000002,0.13921719400000002,0.201711791,-6.03792603,NA,NA
RAD50,-0.15768810800000002,0.085145384,-0.6749261870000001,0.501765056,0.575380395,-6.917294511000001,NA,NA
RAD51,0.682318345,0.084395834,2.62992467,0.010327732,0.026485069,-3.8136159989999996,NA,NA
RAD51-AS1,-0.60155412,0.061206352,-2.618163576,0.010659423000000001,0.02711034,-3.842101637,NA,NA
RAD51AP1,0.502310767,0.308017182,0.99503784,0.322866563,0.399444235,-6.650691107999999,NA,NA
RAD51B,-0.474916964,0.083432276,-3.14008394,0.002403722,0.008935891999999999,-2.4792703240000002,NA,NA
RAD51C,-0.5549989479999999,-0.03088077,-1.6363355990000001,0.10589257199999999,0.161709769,-5.821128107000001,NA,NA
RAD51D,0.362718088,0.043155725,2.333267499,0.022273399,0.047640505,-4.498995239,NA,NA
RAD51L3-RFFL///RFFL,0.31524978600000003,0.012426983999999999,2.214507116,0.02978239,0.059647992999999996,-4.753529789,NA,NA
RAD52,0.212350094,0.10639039,1.394121589,0.167332084,0.234056315,-6.1797522439999995,NA,NA
RAD54B,0.286116259,0.125973492,0.820937087,0.41424254,0.491608816,-6.8081425520000005,NA,NA
RAD54L,0.9501072779999999,-0.064387408,4.18513538,7.56e-05,0.000630744,0.7865748359999999,NA,NA
RAD54L2,-0.32406216,0.060987260999999994,-1.4870320209999999,0.141131895,0.204066361,-6.048574611,NA,NA
RAD9A,0.10805903900000001,-0.039549692000000004,0.755854625,0.452066213,0.528585984,-6.859388917,NA,NA
RAD9B,0.390582055,0.092111968,2.8653742710000003,0.005380244,0.016241598,-3.2213406069999997,NA,NA
RADIL,0.639046396,0.020483561,3.718329073,0.000380904,0.002206483,-0.752438099,NA,NA
RAE1,0.340198467,0.17873121100000003,2.8253795630000003,0.00602584,0.017660272,-3.32486076,NA,NA
RAET1E,-1.056151126,0.06975169,-8.577680061,8.43e-13,6.08e-11,18.71442538,NA,NA
RAF1,-1.487524396,0.263995672,-6.632972141000001,4.24e-09,1.44e-07,10.31179446,NA,NA
RAG1,0.138717813,0.045650277999999996,1.131260181,0.26149269399999997,0.336633402,-6.507011887000001,NA,NA
RAG2,0.103725305,0.019905935,1.437147678,0.154768874,0.219639747,-6.120000732,NA,NA
RAI1,0.546321359,0.17602786199999998,2.655914664,0.009627735,0.025115977,-3.750291185,NA,NA
