Gene.symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Division,Category
NELFCD,-0.009086959,-0.035610828,-0.035403854,0.971850275,0.978987486,-7.167426857000001,NA,NA
NELL1,0.602364201,0.228291695,2.228359806,0.028804858,0.053268372,-4.74588073,Core matrisome,ECM Glycoproteins
NELL2,4.83626135,0.44712905700000005,16.5558765,5.8700000000000005e-27,5.01e-24,50.91842676,Core matrisome,ECM Glycoproteins
NEMF,1.921485467,0.070812766,4.68990554,1.18e-05,6.24e-05,2.556118367,NA,NA
NEMP1,0.75179458,0.033919314,2.627028911,0.010408519,0.022120092999999997,-3.8418235760000004,NA,NA
NEMP2,-0.383008639,0.07639046299999999,-2.679804805,0.009022632,0.019592682,-3.712774197,NA,NA
NENF,-0.28293494199999997,0.18907818399999998,-1.441592744,0.153513731,0.219103899,-6.135556416,NA,NA
NEO1,0.81838918,0.10560566199999999,2.96736272,0.004011328,0.009704487,-2.973024661,NA,NA
NEPRO,0.143369953,-0.006628141,1.097990657,0.275665311,0.35870228299999996,-6.565693179,NA,NA
NES,-0.116126355,0.063314773,-0.725784357,0.470193856,0.554750859,-6.903692617000001,NA,NA
NET1,-0.31657421,0.038033169,-0.664526319,0.50835916,0.591333764,-6.946311635,NA,NA
NETO1,-0.609558533,0.145888979,-2.186972554,0.031812078,0.057885373,-4.832345774,NA,NA
NETO2,-1.1592185190000002,0.288662424,-2.457101591,0.016279803,0.032634506,-4.242673067,NA,NA
NEU1,-0.339093863,-0.138157838,-1.1415866159999999,0.257199992,0.338982267,-6.517323216,NA,NA
NEU2,0.153187556,0.100029306,0.9816451829999999,0.32938061399999996,0.416074505,-6.68582529,NA,NA
NEU3,-0.684837886,0.069127218,-3.91141154,0.000197719,0.000716678,-0.150491898,NA,NA
NEU4,0.277531865,0.058987117,1.7028129109999999,0.092678333,0.143522562,-5.735053451000001,NA,NA
NEURL1,-0.134690537,0.110493934,-0.928744826,0.35595350200000003,0.443092418,-6.736114292000001,NA,NA
NEURL1B,-1.557447036,0.06698056599999999,-4.461371185,2.7699999999999996e-05,0.000130804,1.7312533030000001,NA,NA
NEURL2,-0.22315265899999998,0.040665955,-1.227572807,0.223385425,0.30049322100000003,-6.416598099,NA,NA
NEURL3,-1.142995653,0.002463651,-6.677052828,3.5e-09,5.5e-08,10.48178495,NA,NA
NEURL4,-0.30417284699999997,0.028523222,-2.321502819,0.022933922000000002,0.043913372,-4.5461114469999995,NA,NA
NEUROD1,-0.671329065,0.11445727900000001,-3.84146937,0.000251281,0.000877666,-0.378337517,NA,NA
