Gene.symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Division,Category
ABHD12,0.494455684,0.025297442000000003,4.867431261,5.97e-06,2.3899999999999998e-05,3.214756876,NA,NA
ABHD13,0.12708593199999998,0.048451092,0.815109992,0.417549254,0.49456573,-6.832193902,NA,NA
ABHD14A-ACY1///ACY1,-0.013688421999999999,-0.032654899,-0.10722754300000001,0.914890229,0.935758091,-7.159535921,NA,NA
ABHD14A///ACY1,0.414551225,0.041046674,3.0535770610000004,0.003113695,0.006690138000000001,-2.736971543,NA,NA
ABHD14B,0.12155803,0.083621265,1.038896949,0.302137384,0.37667161200000004,-6.625627801,NA,NA
ABHD15,0.128619695,0.060278434000000006,1.298698561,0.197963065,0.26146797899999996,-6.325270447,NA,NA
ABHD16A,0.6925144040000001,0.18245603300000002,7.331095716,2.0500000000000002e-10,2.23e-09,13.27918214,NA,NA
ABHD16B,0.38280435799999996,0.10207140099999999,4.997059153,3.61e-06,1.52e-05,3.701974887,NA,NA
ABHD17A,2.2400736880000003,0.11366988900000001,15.50351304,2.82e-25,2.4099999999999997e-22,47.10526404,NA,NA
ABHD17B,0.027847094,0.033999636,0.399530286,0.6906199479999999,0.747759385,-7.0850242670000005,NA,NA
ABHD17C,-1.162292326,-0.005947427,-6.826237999,1.84e-09,1.63e-08,11.11637393,NA,NA
ABHD18,0.506580786,0.29249078300000003,2.667935359,0.009318802,0.017806613,-3.739365805,NA,NA
ABHD2,1.334979416,0.171965139,11.15223455,1.11e-17,7.33e-16,29.82766984,NA,NA
ABHD3,-0.174917997,-0.050591835,-1.086164283,0.280829765,0.35357690700000005,-6.575786815,NA,NA
ABHD4,0.21810900100000002,-0.004562284000000001,2.6069846130000003,0.010983621,0.02061377,-3.887654098,NA,NA
ABHD5,0.248049677,0.177585568,2.5199618,0.013828736999999999,0.025268346,-4.094394834,NA,NA
ABHD6,0.594446764,0.096352941,5.210935237,1.56e-06,7.11e-06,4.519672756,NA,NA
ABHD8,0.260000493,0.040549672,2.622494201,0.010536182,0.019857887,-3.850191125,NA,NA
ABI1,0.076913014,0.079593708,1.722688321,0.089000494,0.130946168,-5.699359812000001,NA,NA
ABI2,-0.07746410599999999,0.14380017,-0.652134789,0.516276198,0.58895084,-6.951755992000001,NA,NA
ABI3,0.19128679199999998,0.00913943,2.543724016,0.012992362,0.023932957999999997,-4.038528806,NA,NA
ABI3BP,0.18278377399999998,0.31798204,1.5609123040000001,0.122687474,0.17267788,-5.957661005,Core matrisome,ECM Glycoproteins
ABL1,1.141376151,0.058080907,5.627010267,2.9e-07,1.56e-06,6.1548524989999995,NA,NA
ABL2,0.31248265,-0.000641265,2.578823978,0.011840261000000001,0.022052002,-3.9552002539999997,NA,NA
ABLIM1,-0.49620575100000003,0.089163668,-1.568354714,0.120941125,0.170489928,-5.946299787999999,NA,NA
ABLIM2,0.214631395,0.15083241,2.160206353,0.033900021,0.055940320999999994,-4.88484713,NA,NA
ABLIM3,-0.166818587,0.019274592,-1.4943639780000002,0.139209439,0.192877725,-6.0569923370000005,NA,NA
ABO,-1.115091423,0.139662814,-8.292195699999999,2.98e-12,4.94e-11,17.45613461,NA,NA
ABR,1.5449575359999999,0.10766815699999999,10.76499662,5.829999999999999e-17,3.18e-15,28.18350036,NA,NA
ABRA,0.165979078,0.07093985400000001,2.1056083180000003,0.038532088,0.06267634400000001,-4.995490498000001,NA,NA
ABRACL,-0.076160769,-0.141025104,-0.246413412,0.80602469,0.846574736,-7.134759895,NA,NA
ABT1,-0.6087127729999999,-0.044372335,-6.066868072,4.69e-08,3.03e-07,7.937906609,NA,NA
ABTB1,-0.015424002,0.107412262,-0.163025507,0.870929849,0.9001363809999999,-7.1519438420000006,NA,NA
ABTB2,0.550092575,0.14001649900000002,5.761433392000001,1.67e-07,9.47e-07,6.694340406,NA,NA
ACAA1,0.619674148,-0.023625361,4.622813873,1.52e-05,5.539999999999999e-05,2.3139433940000003,NA,NA
ACAA2,0.672704741,0.17808020100000002,7.997779002000001,1.0900000000000001e-11,1.5699999999999997e-10,16.17148144,NA,NA
ACACA,-0.575455994,0.0075976659999999994,-5.346591748,9.05e-07,4.35e-06,5.046677065,NA,NA
ACACB,1.400161269,0.16103584699999998,5.137834961,2.08e-06,9.2e-06,4.23832664,NA,NA
ACAD10,-0.156300633,0.033103716,-2.178961527,0.032424877000000005,0.053781682000000004,-4.846261619,NA,NA
ACAD8,-0.443557893,0.10581495,-2.903876271,0.0048194959999999995,0.009886819,-3.13896402,NA,NA
ACAD9,-0.255033416,-0.029218327000000002,-3.5341400000000003,0.000699081,0.0017535029999999998,-1.343295638,NA,NA
ACADL,0.532193802,0.26760637600000003,3.85066854,0.000243516,0.0006752139999999999,-0.34603436,NA,NA
ACADM,0.182321473,-0.22496157,0.624367519,0.534250851,0.606311959,-6.9695103860000005,NA,NA
ACADS,0.36339739,0.061203691,4.1895782630000005,7.44e-05,0.000232931,0.784465544,NA,NA
ACADSB,-0.386748754,0.071310494,-2.172813422,0.032902142999999995,0.05448383,-4.858942718,NA,NA
ACADVL,0.853291673,-0.053144437,5.084618766,2.56e-06,1.11e-05,4.034714564,NA,NA
ACAN,0.503714209,0.14971453199999998,4.986491502,3.76e-06,1.58e-05,3.6620115330000003,Core matrisome,Proteoglycans
ACAP1,0.32777443300000003,0.099719526,2.7518431389999995,0.007401711,0.01451295,-3.530599057,NA,NA
ACAP2,-0.6290796999999999,0.174048865,-3.665061764,0.00045487800000000003,0.001191261,-0.938030467,NA,NA
ACAP3,0.894427794,0.103164584,7.784443757000001,2.8e-11,3.73e-10,15.24280756,NA,NA
ACAT1,0.221980265,0.072949523,2.46920594,0.015779551,0.028407795,-4.212236193,NA,NA
ACAT2,-0.12715570199999998,0.032695497000000004,-0.8642774320000001,0.390147526,0.467482781,-6.79099524,NA,NA
ACBD3,0.847617162,0.19743678899999997,5.232224174,1.43e-06,6.59e-06,4.60196181,NA,NA
ACBD4,-0.006817963000000001,-0.01034058,-0.07579803,0.939778398,0.954512103,-7.16243247,NA,NA
ACBD5,-0.302413237,0.049744539000000004,-2.839740515,0.00578625,0.011649567,-3.3062518730000003,NA,NA
ACBD6,0.671944202,0.022422077999999998,4.279561835,5.379999999999999e-05,0.00017399,1.09471736,NA,NA
ACCS,0.7573713240000001,0.081027672,4.872448316,5.85e-06,2.34e-05,3.233490918,NA,NA
ACD,0.77253622,0.10368051699999999,6.255085295,2.12e-08,1.48e-07,8.715252968,NA,NA
ACE,0.715442068,0.160078818,6.039414602999999,5.26e-08,3.37e-07,7.825190696,NA,NA
ACE2,-0.509964693,0.11212407,-4.376310965,3.79e-05,0.00012652,1.4327587569999998,NA,NA
ACER1,0.205896897,0.094502379,2.401231766,0.018777723,0.033152692000000004,-4.366849605,NA,NA
ACER2,0.018328835,0.044354289000000005,0.126893392,0.899358962,0.9235906970000001,-7.1572176999999995,NA,NA
