Gene.symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
TARBP2,-0.36022993,-0.014330938,-1.68238836,0.096586489,0.126550255,-5.626605481
TARDBP,2.868252455,0.172408836,6.79115761,2.14E-09,2.72E-08,11.06462371
TARP,-0.655893816,0.048131939,-2.808521315,0.006318704,0.010819752,-3.252202925
TARP///TRGV9///TRGC2,1.043249175,0.06395124,2.47595835,0.015506517,0.024323755,-4.060577536
TARS,-1.135622235,0.053706195,-5.367650945,8.32E-07,4.19E-06,5.243100729
TARSL2,-1.026727735,0.095107722,-4.815212607,7.30E-06,2.75E-05,3.139888479
TAS1R1,-0.757901048,0.079986222,-4.571708763,1.84E-05,6.14E-05,2.250722421
TAS1R2,-1.203971146,-0.133540557,-6.795697839,2.10E-09,2.68E-08,11.08384471
TAS2R1,-0.917583107,0.010984795,-3.84402839,0.000249097,0.000607528,-0.239868906
TAS2R10,-0.336945426,0.022401868,-2.508262868,0.014258064,0.022564521,-3.985794726
TAS2R13,-0.556233741,0.026508146,-3.455212092,0.0009017,0.001907529,-1.452062909
TAS2R14,0.050644102,0.029814587,0.456550222,0.649292835,0.689342383,-6.918633871
TAS2R16,-0.658160025,-0.05087541,-3.415396901,0.001023869,0.00213471,-1.570977805
TAS2R19,-0.23241971,0.020239233,-2.4285663,0.017515777,0.027157277,-4.168793231
TAS2R3,-0.836025732,-0.038034978,-5.451939634,5.92E-07,3.12E-06,5.573307614
TAS2R38,-0.87937241,-0.107249062,-4.936156366,4.58E-06,1.84E-05,3.590622725
TAS2R39,-0.663481563,-0.064800082,-4.145857292,8.70E-05,0.000240424,0.760545462
TAS2R4,-0.628624885,-0.069136856,-3.510963148,0.000753602,0.001623441,-1.283874747
TAS2R40,-0.421448895,0.051703341,-3.242943036,0.00175664,0.003440965,-2.074235672
TAS2R41,-0.724270217,0.015174878,-5.114177196,2.28E-06,1.00E-05,4.264319002
TAS2R45,-0.297076901,0.045831662,-2.694158069,0.008675946,0.014404379,-3.539694078
TAS2R45///TAS2R43,-0.871538251,-0.044205288,-4.934531604,4.60E-06,1.85E-05,3.584529337
TAS2R5,-0.384857055,0.029316094,-2.108174949,0.038302633,0.054946599,-4.852604958
TAS2R50,-0.195567028,0.05540384,-1.371515987,0.174238558,0.215037767,-6.089367279
TAS2R7,-0.397796916,0.011197789,-2.383553265,0.01963647,0.030067668,-4.269918548
TAS2R8,-0.805786851,0.025897875,-5.132480181,2.12E-06,9.41E-06,4.33424723
TAS2R9,-0.597322769,0.038350318,-4.769608351,8.69E-06,3.20E-05,2.971459443
TASP1,-0.181976523,0.053581235,-1.494163885,0.13926163,0.176045778,-5.917389643
TAT,-0.61319158,0.064915817,-2.981509501,0.003849239,0.006940999,-2.799073998
TATDN1,1.602073352,-0.200436205,2.750196563,0.007435573,0.012537057,-3.400043315
TATDN2,-0.564570354,-0.032514309,-3.371962794,0.001174884,0.002409738,-1.699548237
TATDN3,-0.415757678,0.022589386,-2.285612523,0.025057393,0.037464697,-4.484302301
TAX1BP1,0.96338914,-0.142730817,2.120557204,0.037212236,0.053530982,-4.827756711
TAZ,-0.827434934,0.080797852,-5.003801651,3.52E-06,1.46E-05,3.845215613
TBATA,-0.790058295,-0.027491186,-3.715117827,0.000385018,0.00089427,-0.651722654
TBC1D1,1.566472292,0.214173103,3.811886634,0.000277888,0.000669589,-0.343450905
TBC1D10A,-0.905182693,0.120127217,-4.42145365,3.21E-05,9.98E-05,1.715078243
TBC1D10B,0.650487875,-0.03142233,4.175354569,7.83E-05,0.00021907,0.860903046
TBC1D10C,-0.184911351,0.130764514,-0.665556649,0.50770381,0.556598074,-6.801261135
TBC1D12,1.803477609,0.162630167,3.806079335,0.000283418,0.000681436,-0.362103159
TBC1D13,0.649969006,-0.020292535,3.281462299,0.001559454,0.003097857,-1.963516954
TBC1D14,1.767147361,-0.076876753,5.797567722,1.44E-07,9.38E-07,6.949618225
TBC1D15,1.255001491,0.270417283,3.346300291,0.001273728,0.002589762,-1.774941643
TBC1D16,-1.114972748,0.119399901,-6.071821241,4.59E-08,3.55E-07,8.064515985
TBC1D17,0.738005208,0.012221695,4.10008045,0.000102327,0.000277565,0.605688613
TBC1D19,1.030816142,0.057500327,3.098985848,0.002719744,0.005086302,-2.479190881
TBC1D2,-0.551627161,0.052881116,-1.891115441,0.062408982,0.085409249,-5.266944614
TBC1D20,1.565293221,0.122885421,4.22240749,6.62E-05,0.000188337,1.021905796
TBC1D21,-0.597001685,-0.046171927,-3.345235252,0.001277995,0.002597962,-1.778061381
TBC1D22A,0.582101293,0.079167785,2.490379873,0.014937531,0.023532568,-4.027294261
TBC1D22A-AS1,-0.134527054,0.036445705,-1.00620376,0.317501501,0.366732552,-6.517755999
TBC1D22B,-0.777163321,0.094520569,-3.742721428,0.000350996,0.000821949,-0.564340749
TBC1D23,2.456910186,-0.008217911,5.624333431,2.94E-07,1.72E-06,6.255486257
TBC1D24,-0.208000995,0.082897019,-0.955366219,0.342413047,0.392487378,-6.567247936
TBC1D25,-0.719943206,-0.009753109,-3.723018763,0.000374971,0.000873126,-0.626756992
TBC1D27,-0.886618348,-0.012448481,-4.6312557,1.47E-05,5.06E-05,2.46581146
TBC1D28,-0.593146331,0.073991149,-3.94795371,0.000174274,0.000443286,0.099014472
TBC1D29,-1.428534983,0.014917843,-7.314897557,2.20E-10,4.07E-09,13.29950654
TBC1D2B,2.068499959,0.18251137,7.395254919,1.55E-10,3.03E-09,13.64508271
TBC1D30,-0.080307187,0.079571482,-0.461659433,0.645640566,0.685890855,-6.916282472
TBC1D31,-0.461800464,0.049921849,-2.850534527,0.00561197,0.009724992,-3.144151277
TBC1D32,1.481573264,0.192938263,4.072965689,0.000112606,0.000301814,0.514478087
TBC1D3I///TBC1D3E///LOC101060389///TBC1D3L///TBC1D3K///TBC1D3G///TBC1D3H///TBC1D3///TBC1D3C///TBC1D3F,1.70432827,0.090360178,5.480899603,5.27E-07,2.82E-06,5.687276329
TBC1D3P1-DHX40P1///RNFT1,-0.251978981,-0.034536778,-1.605789838,0.112455847,0.145039258,-5.748828167
TBC1D4,0.555517629,0.109346369,1.823683799,0.072120263,0.097297333,-5.38735196
TBC1D5,1.710320677,0.067609566,7.380838702,1.65E-10,3.20E-09,13.58304214
TBC1D7,-0.601798969,-0.060409292,-3.233302613,0.001809527,0.003533348,-2.101791491
TBC1D8,1.582834028,0.144712463,4.864097286,6.05E-06,2.33E-05,3.32137165
TBC1D8///RPL31,0.957980869,0.290516768,1.952627766,0.054535748,0.075555761,-5.153643453
TBC1D8B,1.642009724,0.389496364,3.804932872,0.000284522,0.000683647,-0.365783164
TBC1D9,-1.047513495,0.197451905,-4.399429472,3.48E-05,0.000107075,1.63744144
TBC1D9B,-0.296182079,0.106703114,-1.752394091,0.083727889,0.111304264,-5.510287875
TBCA,-0.11842124,-0.188481208,-0.32933645,0.742804757,0.774414212,-6.968778518
TBCB,2.996768077,-0.207362996,7.039285216,7.32E-10,1.10E-08,12.11926434
TBCC,2.052663466,-0.134343837,6.034411172,5.37E-08,4.06E-07,7.911360093
TBCCD1,1.38781431,-0.081072282,3.668455897,0.000449783,0.001023726,-0.798416809
TBCD,0.22356049,0.070104505,0.998057392,0.321409799,0.370668836,-6.525854934
TBCE,1.259251604,0.121011491,5.281665837,1.17E-06,5.65E-06,4.908620657
TBCEL,2.341954032,0.335278852,5.140575109,2.06E-06,9.15E-06,4.365212982
TBCK,2.963056072,-0.119588288,5.425101655,6.60E-07,3.43E-06,5.467923327
TBK1,1.862181963,0.026717215,5.542219042,4.10E-07,2.28E-06,5.929440436
TBKBP1,-0.797343108,0.008660045,-4.49671269,2.43E-05,7.84E-05,1.982079079
TBL1X,-0.249462314,0.027225659,-1.085934091,0.280930948,0.328919679,-6.43511322
TBL1XR1,2.942173815,0.369879694,6.090329123,4.25E-08,3.32E-07,8.140406112
TBL1Y,-0.704931101,0.121057044,-4.692320235,1.17E-05,4.14E-05,2.687985765
TBL2,-0.048012458,-0.013731673,-0.272383341,0.786063873,0.813597527,-6.985982424
TBL3,-1.451128761,0.093769006,-6.238970964,2.27E-08,1.97E-07,8.752660474
TBP,1.90316157,-0.008204006,5.756111135,1.71E-07,1.09E-06,6.782756298
TBPL1,1.884635104,-0.095754248,4.294240132,5.11E-05,0.000149915,1.269835538
TBR1,-0.583329499,-0.009783348,-3.991559354,0.000149778,0.00038822,0.242977752
TBRG1,1.749852925,0.256403269,5.177862853,1.77E-06,8.06E-06,4.508151743
TBRG4,-0.316969872,0.033458493,-1.865773248,0.065920966,0.08974023,-5.312663918
TBX1,-0.938252084,0.122459048,-4.553683273,1.96E-05,6.52E-05,2.185922276
TBX10,-1.461885245,0.061724817,-7.051857628,6.93E-10,1.06E-08,12.17291547
TBX15,-0.304724512,0.094078571,-1.102521588,0.273704317,0.321627902,-6.417152039
TBX18,0.349714312,0.185865887,1.222494231,0.225287886,0.270425785,-6.279420143
TBX18-AS1,0.504959815,0.169883419,1.060268559,0.292370965,0.340805498,-6.462383885
