Gene.symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
ARSF,0.391465033,0.011981098,2.832615446,0.005904004,0.017392665,-3.306218841
ARSG,0.374162327,-0.019784537,2.230328746,0.028668229,0.057912429,-4.720291022
ARSI,1.089823116,0.231554385,4.097007971,0.000103445,0.000808529,0.48700664
ARSJ,0.220687704,0.185788562,0.644180966,0.5213921,0.593233685,-6.937597
ARSK,-0.338599427,0.076460912,-1.503642112,0.136806233,0.198807881,-6.024281409
ART1,0.466486028,0.090067108,3.353463791,0.001245376,0.005418739,-1.867004688
ART3,0.025042873,0.011302602,0.210723286,0.833665585,0.865365673,-7.123604305
ART4,0.410018188,0.10432685,1.523264799,0.1318312,0.192864645,-5.99525472
ART5,0.416170861,-0.00443723,2.482748991,0.01523622,0.0357238,-4.162342454
ARTN,0.519757287,0.02120809,2.477751562,0.015434724,0.036102632,-4.173885692
ARV1,-0.947946467,-0.062482676,-7.436272058,1.29E-10,6.03E-09,13.74618518
ARVCF,0.575575399,0.180185391,2.967722788,0.004007125,0.013012177,-2.951130271
ARX,-2.740236626,1.719421428,-2.899886079,0.004875,0.015089479,-3.131072465
AS3MT,-0.2928682,0.163979961,-0.9176543,0.361694742,0.439216288,-6.724320763
ASAH1,0.247372769,0.061843182,1.88819912,0.062804926,0.106789794,-5.391877551
ASAH2B,-0.568022983,0.082854775,-2.824061,0.006048288,0.017703899,-3.32825364
ASAP1,1.0970588,0.126978953,2.475788408,0.015513336,0.036244542,-4.178414846
ASAP1-IT1,0.017564319,-0.015494211,0.088934269,0.929367433,0.94406737,-7.141972362
ASAP1-IT2,0.106774378,0.136683017,0.503522329,0.616049351,0.67988396,-7.018518493
ASAP2,-0.458179261,-0.170332083,-0.974268112,0.333005582,0.409911204,-6.671024024
ASAP3,0.33713987,0.046196429,1.699088534,0.093381167,0.146386096,-5.719480503
ASB1,-0.061167692,0.080729354,-0.291271054,0.771635264,0.813208783,-7.103263797
ASB10,0.430441517,0.068039977,3.11568023,0.00258697,0.009420693,-2.547335502
ASB11,0.203921572,-0.0085038,2.146073024,0.035049981,0.06760226,-4.894897217
ASB12,-0.180869215,-0.307179921,-0.546672821,0.586200515,0.652211178,-6.995785586
ASB12///MTMR8,0.402342738,0.050404766,2.584046787,0.011676959,0.029010924,-3.924129797
ASB13,0.534539436,-0.134936279,2.321489726,0.022934667,0.048670732,-4.524754514
ASB14,0.486691186,0.187129384,3.036732959,0.003272862,0.01121164,-2.764704898
ASB15,0.369295821,-0.086641026,2.591702529,0.011441267,0.028581944,-3.905801142
ASB16,0.477327738,-0.079606514,2.936009341,0.004393332,0.013996305,-3.035664687
ASB16-AS1,0.151887172,0.055819375,1.431157399,0.156472892,0.221619232,-6.128422746
ASB17,0.244331644,0.002320062,2.380559976,0.019785285,0.043499437,-4.394427816
ASB2,0.457940682,0.066486855,2.191639601,0.031459762,0.062189073,-4.801203271
ASB3,0.262819782,-0.018799652,2.356298165,0.021029011,0.045588844,-4.448298868
ASB4,0.270860167,0.10631071,2.095094031,0.039484538,0.07416618,-4.997651569
ASB5,0.333037753,0.104824852,2.312657098,0.02344193,0.049491983,-4.543998259
ASB6,0.03823206,0.002767395,0.226182694,0.82166482,0.855712935,-7.120205809
ASB7,0.351222939,0.03873234,1.962573158,0.053345649,0.093860751,-5.254414232
ASB8,-1.327000966,0.110114325,-5.679215148,2.34E-07,4.98E-06,6.379367442
ASB9,0.444894121,0.085385958,2.785634235,0.006737222,0.019185929,-3.426567545
ASCC1,-0.699518819,-0.074418821,-2.797970856,0.006508576,0.018714682,-3.395123815
ASCC2,-0.856384938,0.014961052,-3.668090335,0.000450329,0.002523776,-0.910736433
