Gene.symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
MOCOS,0.164516845,0.098479583,0.949420944,0.345407496,0.426203383,-6.44543945
MOCS1,0.36090446,0.063171064,2.098554711,0.039168822,0.066132542,-4.748429604
MOCS2,0.025141566,0.107132012,0.19525849,0.845710201,0.879429378,-6.875667346
MOCS3,-0.365794915,0.028349091,-2.664798054,0.009398549,0.019100527,-3.491632672
MOG,-0.63047574,0.166343691,-3.708178789,0.000394052,0.001200141,-0.560995381
MOGAT1,-0.664271604,0.029749114,-3.568466429,0.000625154,0.001795005,-0.994584003
MOGAT2,-0.635036414,0.005538217,-5.366816188,8.34E-07,5.89E-06,5.335172925
MOGAT3,-0.197900084,0.025535788,-1.781600326,0.078798083,0.121578246,-5.335657553
MOGS,1.08522911,0.013513492,5.046107971,2.98E-06,1.76E-05,4.104485196
MOK,0.6329787,0.012418157,3.112852464,0.002609027,0.006239929,-2.323499886
MON1A,0.353060715,-0.059888938,2.149172662,0.034794911,0.059631168,-4.646695093
MON1B,1.220098771,0.103050769,3.543940439,0.00067717,0.001923727,-1.06948461
MON2,0.09486146,0.125675741,0.590070724,0.556888713,0.631871337,-6.720581085
MOP-1,-0.010992119,0.016602826,-0.169948544,0.865500915,0.895232555,-6.880300517
MORC1,-0.148310007,0.020149101,-1.565473153,0.121614911,0.176639319,-5.685377132
MORC2,-0.030128825,0.011934332,-0.158286543,0.874649664,0.902721327,-6.882219378
MORC2-AS1,-0.763032578,-0.013004103,-4.544428925,2.03E-05,9.22E-05,2.257397567
MORC3,-0.027728124,0.028973561,-0.083060733,0.934021017,0.948144405,-6.891321822
MORC4,1.569878876,0.116743691,5.715749201,2.02E-07,1.76E-06,6.71164501
MORF4L1,1.556704656,0.013460901,3.894005732,0.000209922,0.000700402,0.03334654
MORF4L2,-1.932979662,0.450654477,-9.164729061,6.31E-14,6.94E-12,21.36150121
MORF4L2-AS1,-0.288720489,0.062268191,-1.952492861,0.054552045,0.088217815,-5.02982145
MORN1,-1.168901665,0.176124681,-6.094316279,4.18E-08,4.61E-07,8.242543648
MORN2,0.654287608,0.093134776,2.392714742,0.019187173,0.035544657,-4.127600134
MORN3,-0.31421972,0.017140902,-2.645374026,0.00990626,0.020000637,-3.538933085
MORN4,-0.363400548,0.151213525,-1.734297314,0.086908356,0.132536585,-5.415774327
MORN5,-0.146806552,0.018709749,-0.780256436,0.437656508,0.518979949,-6.59071439
MOS,-0.296330919,0.006323159,-2.757089099,0.007294766,0.015280638,-3.262999145
MOSPD1,-1.058185898,0.167584269,-6.662548233,3.73E-09,5.97E-08,10.59894633
MOSPD2,-0.031039627,0.010974977,-0.152199957,0.87943142,0.906458328,-6.883166745
MOSPD3,-0.013600231,-0.040343898,-0.093490711,0.925759065,0.941786009,-6.890398506
MOV10,0.216448807,0.026744874,2.163772287,0.033615127,0.05783228,-4.616953281
MOV10L1,-0.089205315,0.040147649,-0.72111968,0.473042172,0.553934976,-6.634907147
MOXD1,2.202220934,0.793456877,3.940270045,0.000178971,0.000609023,0.184335296
MPC1,-0.531755926,0.074939504,-3.921843715,0.000190735,0.000644709,0.124057775
MPC2,0.250868965,0.079509053,1.246688508,0.216329681,0.287434934,-6.123307542
