Gene.symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
KAZALD1,-0.295757328,0.058717266,-2.484862427,0.015152963,0.027406315,-4.176103084
KCP,0.271422954,0.15728078199999998,2.356768346,0.021004263,0.036575168,-4.465980261
KERA,0.7088066009999999,0.263236258,3.21923004,0.001889412,0.00426673,-2.273883347
KITLG,0.382296709,0.10958903099999999,4.229692563,6.45e-05,0.00020453599999999998,0.92227229
LAMA1,1.725676815,0.399030593,6.801218115,2.0499999999999997e-09,1.8e-08,11.01004881
LAMA2,0.915573147,0.36280777799999997,3.82947249,0.000261763,0.00072131,-0.414645925
LAMA3,-1.113388494,0.19027820899999998,-4.068160368,0.000114528,0.00034326,0.372390571
LAMA4,1.049185428,0.10698603,8.437871054,1.56e-12,2.7600000000000004e-11,18.09257344
LAMB1,2.3537600690000002,0.732611705,9.914375595,2.3399999999999998e-15,8.24e-14,24.527551000000003
LAMB2,1.878362655,0.126191401,8.933122598999999,1.7499999999999999e-13,3.84e-12,20.25704319
LAMB3,-1.140638145,0.123588581,-4.957922484,4.2e-06,1.75e-05,3.5541871410000003
LAMC1,-0.47508158100000003,-0.13619243,-2.54904659,0.012811391,0.023623095,-4.025954614
LAMC2,-1.166586926,0.26348093300000003,-5.285155415,1.16e-06,5.43e-06,4.807234918
LAMC3,0.44622047,0.105525911,2.593562473,0.01138466,0.021310634,-3.919925037
LEFTY1,-0.317089213,-0.010777931000000001,-3.4016050339999997,0.001069715,0.002565308,-1.742738685
LGALS1,2.7616926,0.118402545,11.31764976,5.48e-18,3.9900000000000002e-16,30.52559631
LGALS13,-0.48374762,-0.029816194,-8.307282215,2.79e-12,4.6499999999999995e-11,17.52202813
LGALS14,-0.8436510740000001,0.010614635,-7.940247215,1.41e-11,1.9800000000000001e-10,15.92081872
LGALS2,0.843665152,0.290987383,7.043395897000001,7.190000000000001e-10,7e-09,12.04287424
LGALS4,-0.624633843,-0.059364345,-8.778568952999999,3.4700000000000004e-13,7.1199999999999995e-12,19.58170478
LGALS8,0.90915124,0.363381291,4.258676147,5.8099999999999996e-05,0.00018622299999999998,1.022345033
LGALS9,0.22793713899999998,-0.000710129,2.2623046159999998,0.026527702,0.045001303,-4.671254253
LGI2,0.383401324,0.109857612,3.086263673,0.00282516,0.006134845999999999,-2.647092361
